사용기관명,전용면적,공간용도구분
농업생명과학대학,270.0,강의실
농업생명과학대학,258.0,강의실
농업생명과학대학 부속동물사육장,254.4,기타공용시설
농업생명과학대학 부속동물사육장,254.4,기타공용시설
농업생명과학대학,212.14,사업단실
농업생명과학대학,195.39,기타공용시설
농업생명과학대학,145.2,학생자율학습실
농업생명과학대학,138.6,기타공용시설
농업생명과학대학,133.2,대학(원) 행정시설
농업생명과학대학,127.4,학과(부) 행정실
농업생명과학대학,118.8,연구용실험실
혁신교육개발원,117.3,강의실
농업생명과학대학,112.32,기타공용시설
혁신교육개발원,112.2,강의실
농업생명과학대학 부속동물사육장,101.99,기타공용시설
농생명힐빙밸리연구센터,99.28,부속연구시설
농업생명과학대학,99.0,대학(원) 행정시설
농업생명과학대학,93.75,강의실
농업생명과학대학 행정실,90.48,교육용실험실습실
농업생명과학대학,89.88,기타공용시설
식품유통학,89.79,강의실
농업생명과학대학 행정실,87.75,교육용실험실습실
농업생명과학대학,87.75,연구용실험실
사무국 재무과,69.7,대학원생연구실
농업생명과학대학,69.7,연구용실험실
바이오식품소재개발및산업화연구센타,69.35,연구용실험실
식품유통학,69.35,강의실
농업생명과학대학,69.35,강의실
농업생명과학대학,69.3,기타공용시설
농업생명과학대학 부속동물사육장,69.18,기타공용시설
농업생명과학대학 부속동물사육장,69.18,기타공용시설
농업생명과학대학,68.87,대학(원) 행정시설
농업경제학,66.69,강의실
바이오식품소재개발및산업화연구센타,66.0,사업단실
농업생명과학대학,65.52,연구용실험실
농업경제학,65.52,강의실
농업생명과학대학,65.52,연구용실험실
농업생명과학대학,64.5,강의실
향토건강식품명품화사업단,63.7,사업단실
전북농업마이스터대학전북대학교캠퍼스교육양성사업단,63.7,강의실
바이오식품소재개발및산업화연구센타,63.7,연구용실험실
농업생명과학대학,63.7,강의실
전북농업마이스터대학전북대학교캠퍼스교육양성사업단,63.7,강의실
사무국 재무과,62.16,연구용실험실
농업생명과학대학,62.16,대학(원) 행정시설
혁신교육개발원,61.48,강의실
농업경제학,60.48,강의실
농업생명과학대학,60.48,연구용실험실
농업과학기술연구소,60.45,부속연구시설
남원옻칠산업육성사업단,59.86,사업단실
바이오식품소재개발및산업화연구센타,59.86,연구용실험실
전북농업마이스터대학전북대학교캠퍼스교육양성사업단,59.86,강의실
바이오식품연구센터,59.86,연구용실험실
전북대학교,58.5,기타공용시설
전북대학교,58.5,기타공용시설
농업생명과학대학,57.6,기타공용시설
농업생명과학대학,57.6,기타공용시설
농업생명과학대학,54.0,강의실
농업생명과학대학,52.8,연구용실험실
농업생명과학대학,49.26,연구용실험실
농업생명과학대학,48.6,연구용실험실
농업생명과학대학,48.6,연구용실험실
농업생명과학대학,46.64,학생자치실
농업생명과학대학,46.2,대학(원) 행정시설
농업생명과학대학,45.84,대학(원) 행정시설
농업생명과학대학,45.24,연구용실험실
농업생명과학대학,45.24,연구용실험실
농업생명과학대학,45.24,학생자율학습실
식물의학연구센터,44.25,부속연구시설
농업생명과학대학,39.44,연구용실험실
농업생명과학대학 부속동물사육장,38.5,기타공용시설
농업생명과학대학,35.93,연구용실험실
새만금미래농업교육연구센터,35.67,사업단실
