사용기관명,전용면적,공간용도구분
식품공학과,426.55,교육용실험실습실
지역건설공학과,130.05,강의실
원예학과,117.3,강의실
조경학과,117.0,강의실
조경학과,115.69,교육용실험실습실
생물산업기계공학과,115.5,연구용실험실
동물생명공학과,115.44,교육용실험실습실
동물생명공학과,115.44,교육용실험실습실
생물환경화학과,112.2,강의실
작물생명과학과,112.2,강의실
생물환경화학과,102.96,연구용실험실
산림환경과학과,99.45,연구용실험실
산림환경과학과,99.45,연구용실험실
산림환경과학과,99.45,교육용실험실습실
식품공학과,98.28,교육용실험실습실
산림환경과학과,96.2,강의실
스마트팜학과,95.55,강의실
스마트팜학과,95.55,강의실
지역건설공학과,95.2,교육용실험실습실
산림환경과학과,95.2,강의실
원예학과,94.53,강의실
동물생명공학과,92.0,강의실
작물생명과학과,90.72,연구용실험실
동물자원과학과,87.75,교육용실험실습실
동물자원과학과,87.75,연구용실험실
조경학과,87.75,교육용실험실습실
동물자원과학과,87.75,강의실
조경학과,87.75,교육용실험실습실
조경학과,87.75,교육용실험실습실
농생물학과,87.75,강의실
작물생명과학과,85.8,연구용실험실
작물생명과학과,85.8,연구용실험실
식품공학과,82.05,교육용실험실습실
식품공학과,81.75,강의실
식품공학과,71.72,교육용실험실습실
동물생명공학과,71.04,연구용실험실
동물생명공학과,71.04,교육용실험실습실
작물생명과학과,69.96,강의실
산림환경과학과,69.7,연구용실험실
산림환경과학과,69.7,교육용실험실습실
산림환경과학과,69.7,연구용실험실
산림환경과학과,69.7,연구용실험실
지역건설공학과,69.7,연구용실험실
산림환경과학과,69.7,교육용실험실습실
지역건설공학과,69.7,연구용실험실
산림환경과학과,69.7,대학원생연구실
지역건설공학과,69.7,연구용실험실
지역건설공학과,69.7,대학원생연구실
지역건설공학과,69.7,강의실
지역건설공학과,69.7,연구용실험실
생명자원융합학과,69.35,강의실
생물환경화학과,68.64,연구용실험실
원예학과,68.64,강의실
생물환경화학과,68.64,교육용실험실습실
생물환경화학과,68.64,교육용실험실습실
작물생명과학과,68.64,연구용실험실
작물생명과학과,68.64,연구용실험실
스마트팜학과,68.64,강의실
생물환경화학과,68.64,연구용실험실
원예학과,68.64,대학원강의실
원예학과,68.64,연구용실험실
생물환경화학과,68.64,연구용실험실
작물생명과학과,68.64,연구용실험실
작물생명과학과,68.64,연구용실험실
작물생명과학과,68.64,연구용실험실
작물생명과학과,68.64,연구용실험실
작물생명과학과,68.64,대학원강의실
조경학과,67.86,강의실
동물자원과학과,67.86,강의실
농생물학과,67.86,연구용실험실
농생물학과,67.86,연구용실험실
농생물학과,67.86,강의실
동물자원과학과,67.86,강의실
농생물학과,67.86,강의실
식품공학과,66.69,강의실
생물산업기계공학과,66.69,강의실
식품공학과,65.52,강의실
목재응용과학과,65.52,강의실
목재응용과학과,65.52,대학원강의실
목재응용과학과,65.52,연구용실험실
생물산업기계공학과,65.52,연구용실험실
생물산업기계공학과,65.52,연구용실험실
생물산업기계공학과,65.52,교육용실험실습실
생물산업기계공학과,65.52,강의실
생물산업기계공학과,65.52,연구용실험실
조경학과,64.85,교육용실험실습실
동물생명공학과,63.0,대학원강의실
생물환경화학과,62.9,강의실
생물산업기계공학과,62.9,연구용실험실
목재응용과학과,62.16,연구용실험실
산림환경과학과,62.16,강의실
지역건설공학과,62.16,교육용실험실습실
동물생명공학과,62.16,강의실
동물생명공학과,62.16,연구용실험실
생물환경화학과,61.42,교수회의실 및 휴게실
작물생명과학과,60.9,연구용실험실
원예학과,60.0,연구용실험실
생명자원융합학과,59.86,강의실
조경학과,58.5,대학원강의실
동물자원과학과,58.5,연구용실험실
동물자원과학과,58.5,연구용실험실
식물방역대학원,58.5,연구용실험실
동물자원과학과,58.5,교육용실험실습실
농생물학과,58.5,연구용실험실
농생물학과,58.5,교육용실험실습실
작물생명과학과,56.4,연구용실험실
작물생명과학과,56.4,연구용실험실
목재응용과학과,53.82,연구용실험실
지역건설공학과,53.3,대학원강의실
산림환경과학과,53.3,대학원강의실
작물생명과학과,53.3,대학(원) 행정시설
지역건설공학과,53.3,학과(부) 행정실
생물환경화학과,52.8,연구용실험실
생물환경화학과,52.8,연구용실험실
원예학과,52.8,연구용실험실
생물환경화학과,52.8,연구용실험실
원예학과,52.8,연구용실험실
원예학과,52.8,연구용실험실
원예학과,52.8,연구용실험실
원예학과,52.8,연구용실험실
원예학과,52.8,연구용실험실
생물환경화학과,52.8,대학원강의실
원예학과,51.48,연구용실험실
목재응용과학과,48.36,연구용실험실
식품공학과,48.24,교육용실험실습실
조경학과,45.24,연구용실험실
동물자원과학과,45.24,연구용실험실
조경학과,45.24,연구용실험실
동물자원과학과,45.24,연구용실험실
조경학과,45.24,연구용실험실
농생물학과,45.18,대학원생연구실
식품공학과,44.46,연구용실험실
목재응용과학과,44.46,교육용실험실습실
목재응용과학과,44.46,강의실
동물자원과학과,44.17,대학원강의실
동물생명공학과,43.9,대학원생연구실
농생물학과,43.58,교육용실험실습실
농생물학과,43.5,대학원강의실
원예학과,39.0,대학원강의실
생물산업기계공학과,37.29,강의실
생물산업기계공학과,37.29,대학원강의실
